artist;album;release_date;userscore;metascore;link_album;link_img
Young Fathers;White Men Are Black Men Too;2015-04-07;81;83;https://www.metacritic.com/music/white-men-are-black-men-too/young-fathers;https://static.metacritic.com/images/products/music/9/55d147f8db6bb142635874a3aa387591-98.jpg
Container;LP [2015];2015-06-09;null;83;https://www.metacritic.com/music/lp-2015/container;https://static.metacritic.com/images/products/music/0/d6bee666d10619b6d4894165c1669873-98.jpg
Songhoy Blues;Music in Exile;2015-02-23;73;83;https://www.metacritic.com/music/music-in-exile/songhoy-blues;https://static.metacritic.com/images/products/music/7/9ef891aab412b818a67f96fd7bc63b5b-98.jpg
Gretchen Peters;Blackbirds;2015-02-10;80;83;https://www.metacritic.com/music/blackbirds/gretchen-peters;https://static.metacritic.com/images/products/music/5/af548749bc8359f6e298d56d2dcf5dcd-98.jpg
Royal Headache;High;2015-08-21;77;83;https://www.metacritic.com/music/high/royal-headache;https://static.metacritic.com/images/products/music/1/940fda113ad2e5985365fcc4eecf4b9f-98.jpg
Myrkur;M;2015-08-21;87;83;https://www.metacritic.com/music/m/myrkur;https://static.metacritic.com/images/products/music/5/f2b027d6ba3d505cb18e41d64532f775-98.jpg
Wilco;Star Wars;2015-07-16;84;83;https://www.metacritic.com/music/star-wars/wilco;https://static.metacritic.com/images/products/music/7/923a6d1a4493a53fd50109c75d819f6f-98.jpg
Visionist;Safe;2015-10-09;null;83;https://www.metacritic.com/music/safe/visionist;https://static.metacritic.com/images/products/music/4/5461d95e31dfd854a4a2ac4f921070ef-98.jpg
Ryley Walker;Primrose Green;2015-03-31;84;83;https://www.metacritic.com/music/primrose-green/ryley-walker;https://static.metacritic.com/images/products/music/7/93415c1db72f25835535d6535d027e17-98.jpg
Locrian;Infinite Dissolution;2015-07-24;null;83;https://www.metacritic.com/music/infinite-dissolution/locrian;https://static.metacritic.com/images/products/music/1/0e5a7fd5c09a42792bf3c022b332dc88-98.jpg
Kurt Vile;B'lieve I'm Goin' Down;2015-09-25;75;83;https://www.metacritic.com/music/blieve-im-goin-down/kurt-vile;https://static.metacritic.com/images/products/music/0/04d92bbc1c6f8f45b71ace7070d1efbc-98.jpg
Anna von Hausswolff;The Miraculous;2015-11-13;84;82;https://www.metacritic.com/music/the-miraculous/anna-von-hausswolff;https://static.metacritic.com/images/products/music/3/4471a79f5c5cb5b827160c600a94873c-98.jpg
