artist;album;url
Beck;Morning Phase;https://www.metacritic.com/music/morning-phase/beck
Beyoncé;Beyoncé;https://www.metacritic.com/music/beyonce/beyonce
Pharrell Williams;Girl;https://www.metacritic.com/music/g-i-r-l/pharrell-williams
Sam Smith;In the Lonely Hour;https://www.metacritic.com/music/in-the-lonely-hour/sam-smith
Ed Sheeran;x;https://www.metacritic.com/music/x/ed-sheeran
Taylor Swift;1989;https://www.metacritic.com/music/1989/taylor-swift
The Weeknd;Beauty Behind the Madness;https://www.metacritic.com/music/beauty-behind-the-madness/the-weeknd
Alabama Shakes;Sound & Color;https://www.metacritic.com/music/sound-color/alabama-shakes
Kendrick Lamar;To Pimp a Butterfly;https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar
Chris Stapleton;Traveller;https://www.metacritic.com/music/traveller/chris-stapleton
Adele;25;https://www.metacritic.com/music/25/adele
Beyoncé;Lemonade;https://www.metacritic.com/music/lemonade/beyonce
Justin Bieber;Purpose;https://www.metacritic.com/music/purpose/justin-bieber
Sturgill Simpson;A Sailor's Guide to Earth;https://www.metacritic.com/music/a-sailors-guide-to-earth/sturgill-simpson
Drake;Views;https://www.metacritic.com/music/views/drake
Bruno Mars;24K Magic;https://www.metacritic.com/music/24k-magic/bruno-mars
Childish Gambino;"Awaken, My Love!";https://www.metacritic.com/music/awaken-my-love!/childish-gambino
Kendrick Lamar;DAMN.;https://www.metacritic.com/music/damn/kendrick-lamar
Jay-Z;4:44;https://www.metacritic.com/music/444/jay-z
Lorde;Melodrama;https://www.metacritic.com/music/melodrama/lorde
Kacey Musgraves;Golden Hour;https://www.metacritic.com/music/golden-hour/kacey-musgraves
Post Malone;Beerbongs & Bentleys;https://www.metacritic.com/music/beerbongs-bentleys/post-malone
Various Artists;Black Panther: The Album, Music from and Inspired By;https://www.metacritic.com/music/black-panther-the-album/original-soundtrack
Brandi Carlile;By the Way, I Forgive You;https://www.metacritic.com/music/by-the-way-i-forgive-you/brandi-carlile
Janelle Monáe;Dirty Computer;https://www.metacritic.com/music/dirty-computer/janelle-monae
