artist;album;link_img;rank;year
Gnarls Barkley;St. Elsewhere;https://charts-static.billboard.com/img/2006/05/gnarls-barkley-bom-st-elsewhere-i6v-53x53.jpg;48;2006
Rihanna;A Girl Like Me;https://charts-static.billboard.com/img/2006/05/rihanna-t38-a-girl-like-me-yqz-53x53.jpg;49;2006
Soundtrack;Get Rich Or Die Tryin';https://charts-static.billboard.com/img/2005/11/soundtrack-000-get-rich-or-die-tryin-ahc-53x53.jpg;50;2006
Sugarland;Twice The Speed Of Life;https://charts-static.billboard.com/img/2004/11/sugarland-661-twice-the-speed-of-life-bhl-53x53.jpg;51;2006
The Notorious B.I.G.;Duets: The Final Chapter;https://charts-static.billboard.com/img/2006/01/the-notorious-big-rts-duets-the-final-chapter-a7y-53x53.jpg;52;2006
The All-American Rejects;Move Along;https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg;53;2006
Faith Hill;Fireflies;https://charts-static.billboard.com/img/2017/04/faith-hill-53x53.jpg;54;2006
Barry Manilow;The Greatest Songs Of The Fifties;https://charts-static.billboard.com/img/2006/02/barry-manilow-0ni-the-greatest-songs-of-the-fifties-8rb-53x53.jpg;55;2006
Green Day;American Idiot;https://charts-static.billboard.com/img/2004/08/green-day-qwn-53x53.jpg;56;2006
Evanescence;The Open Door;https://charts-static.billboard.com/img/2006/10/evanescence-qx6-the-open-door-7qm-53x53.jpg;57;2006
Big & Rich;Comin' To Your City;https://charts-static.billboard.com/img/2005/09/big-rich-s6k-53x53.jpg;58;2006
Christina Aguilera;Back To Basics;https://charts-static.billboard.com/img/2006/09/christina-aguilera-swk-back-to-basics-wz2-53x53.jpg;59;2006
Sean Paul;The Trinity;https://charts-static.billboard.com/img/2005/10/sean-paul-76y-the-trinity-60j-53x53.jpg;60;2006
Keyshia Cole;The Way It Is;https://charts-static.billboard.com/img/2005/07/keyshia-cole-3ov-53x53.jpg;61;2006
Brad Paisley;Time Well Wasted;https://charts-static.billboard.com/img/2005/09/brad-paisley-ws4-time-well-wasted-2x8-53x53.jpg;62;2006
Destiny's Child;#1's;https://charts-static.billboard.com/img/1997/11/destinys-child-n5u-53x53.jpg;63;2006
Nelly Furtado;Loose;https://charts-static.billboard.com/img/2006/07/nelly-furtado-ezw-loose-kjp-53x53.jpg;64;2006
Dierks Bentley;Modern Day Drifter;https://charts-static.billboard.com/img/2005/05/dierks-bentley-yjg-modern-day-drifter-mn8-53x53.jpg;65;2006
Yung Joc;New Joc City;https://charts-static.billboard.com/img/2006/06/yung-joc-f7d-new-joc-city-5a7-53x53.jpg;66;2006
Gorillaz;Demon Days;https://charts-static.billboard.com/img/2001/05/gorillaz-1wx-53x53.jpg;67;2006
Bon Jovi;Have A Nice Day;https://charts-static.billboard.com/img/1984/02/bon-jovi-on5-53x53.jpg;68;2006
John Mayer;Continuum;https://charts-static.billboard.com/img/2006/09/john-mayer-7av-continuum-clp-53x53.jpg;69;2006
Brooks & Dunn;Hillbilly Deluxe;https://charts-static.billboard.com/img/1840/12/brooks-dunn-por-53x53.jpg;70;2006
Kanye West;Late Registration;https://charts-static.billboard.com/img/2005/09/kanye-west-0wf-late-registration-osk-53x53.jpg;71;2006
Jack Johnson;In Between Dreams;https://charts-static.billboard.com/img/2005/03/jack-johnson-69r-in-between-dreams-pto-53x53.jpg;72;2006
Guns N' Roses;Greatest Hits;https://charts-static.billboard.com/img/2004/04/guns-n-roses-egb-greatest-hits-i20-53x53.jpg;73;2006
KT Tunstall;Eye To The Telescope;https://charts-static.billboard.com/img/2006/02/kt-tunstall-hm5-eye-to-the-telescope-phw-53x53.jpg;74;2006
Little Big Town;The Road To Here;https://charts-static.billboard.com/img/2005/10/little-big-town-z2a-the-road-to-here-ays-53x53.jpg;75;2006
Danity Kane;DANITY KANE;https://charts-static.billboard.com/img/2006/09/danity-kane-gn6-danity-kane-zmr-53x53.jpg;76;2006
AFI;Decemberunderground;https://charts-static.billboard.com/img/2006/06/afi-yxb-decemberunderground-2ge-53x53.jpg;77;2006
Reba McEntire;Reba: #1's;https://charts-static.billboard.com/img/2005/12/reba-mcentire-z7o-reba-hashtag-1s-g2y-53x53.jpg;78;2006
Martina McBride;Timeless;https://charts-static.billboard.com/img/2005/11/martina-mcbride-bwm-timeless-rua-53x53.jpg;79;2006
Disturbed;Ten Thousand Fists;https://charts-static.billboard.com/img/2016/12/disturbed-53x53.jpg;80;2006
Ludacris;Release Therapy;https://charts-static.billboard.com/img/2006/10/ludacris-5cn-release-therapy-vkh-53x53.jpg;81;2006
Il Divo;Ancora;https://charts-static.billboard.com/img/2006/02/il-divo-9w0-53x53.jpg;82;2006
Daddy Yankee;Barrio Fino: En Directo;https://charts-static.billboard.com/img/2005/12/daddy-yankee-73c-barrio-fino-en-directo-at8-53x53.jpg;83;2006
Soundtrack;The Cheetah Girls 2;https://charts-static.billboard.com/img/2006/09/soundtrack-000-the-cheetah-girls-2-tk4-53x53.jpg;84;2006
Bob Dylan;Modern Times;https://charts-static.billboard.com/img/2006/09/bob-dylan-r50-modern-times-tm0-53x53.jpg;85;2006
Tony Bennett;Duets: An American Classic;https://charts-static.billboard.com/img/2006/10/tony-bennett-dw7-duets-an-american-classic-kz9-53x53.jpg;86;2006
Blue October;Foiled;https://charts-static.billboard.com/img/2006/04/blue-october-07a-foiled-gx3-53x53.jpg;87;2006
Godsmack;IV;https://charts-static.billboard.com/img/2006/05/godsmack-5kr-iv-yqp-53x53.jpg;88;2006
Coldplay;X&Y;https://charts-static.billboard.com/img/2005/06/coldplay-bm3-x-y-ez5-53x53.jpg;89;2006
Pearl Jam;Pearl Jam;https://charts-static.billboard.com/img/2006/05/pearl-jam-c2s-pearl-jam-bhu-53x53.jpg;90;2006
Soundtrack;Hannah Montana;https://charts-static.billboard.com/img/2006/11/soundtrack-000-hannah-montana-hns-53x53.jpg;91;2006
Bo Bice;The Real Thing;https://charts-static.billboard.com/img/2006/02/bo-bice-4wq-53x53.jpg;92;2006
Rick Ross;Port Of Miami;https://charts-static.billboard.com/img/2006/08/rick-ross-oua-port-of-miami-8xn-53x53.jpg;93;2006
Juelz Santana;What The Game's Been Missing!;https://charts-static.billboard.com/img/2005/12/juelz-santana-yuj-what-the-games-been-missing-5bx-53x53.jpg;94;2006
The Killers;Sam's Town;https://charts-static.billboard.com/img/2006/10/the-killers-7vb-sams-town-ukl-53x53.jpg;95;2006
Nelly;Sweatsuit;https://charts-static.billboard.com/img/2005/12/nelly-yua-sweatsuit-wz4-53x53.jpg;96;2006
Young Jeezy;Let's Get It: Thug Motivation 101;https://charts-static.billboard.com/img/2005/08/jeezy-g79-lets-get-it-thug-motivation-101-g8h-53x53.jpg;97;2006
Gwen Stefani;Love. Angel. Music. Baby.;https://charts-static.billboard.com/img/2004/12/gwen-stefani-72d-love-angel-music-baby-w16-53x53.jpg;98;2006
Three 6 Mafia;Most Known Unknown;https://charts-static.billboard.com/img/2005/10/three-6-mafia-wgx-most-known-unknown-uk6-53x53.jpg;99;2006
Bruce Springsteen;We Shall Overcome: The Seeger Sessions;https://charts-static.billboard.com/img/2006/05/bruce-springsteen-the-e-street-band-000-we-shall-overcome-the-seeger-sessions-bco-53x53.jpg;100;2006
Soundtrack;Cars;https://charts-static.billboard.com/img/2006/06/soundtrack-000-cars-yz4-53x53.jpg;101;2006
Dem Franchize Boyz;On Top Of Our Game;https://charts-static.billboard.com/img/2006/02/dem-franchize-boyz-a35-on-top-of-our-game-ys9-53x53.jpg;102;2006
Dane Cook;Retaliation;https://charts-static.billboard.com/img/2005/08/dane-cook-l75-retaliation-6na-53x53.jpg;103;2006
Hilary Duff;Most Wanted;https://charts-static.billboard.com/img/2005/09/hilary-duff-bcd-most-wanted-jkx-53x53.jpg;104;2006
Ludacris And DTP;Ludacris Presents...Disturbing Tha Peace;https://charts-static.billboard.com/img/2005/12/ludacris-5cn-ludacris-presentsdisturbing-tha-peace-vum-53x53.jpg;105;2006
Busta Rhymes;The Big Bang;https://charts-static.billboard.com/img/2006/06/busta-rhymes-sbv-the-big-bang-78i-53x53.jpg;106;2006
Nick Lachey;What's Left Of Me;https://charts-static.billboard.com/img/2006/03/nick-lachey-lm6-53x53.jpg;107;2006
Kirk Franklin;Hero;https://charts-static.billboard.com/img/2005/10/kirk-franklin-b9i-hero-b3n-53x53.jpg;108;2006
Snow Patrol;Eyes Open;https://charts-static.billboard.com/img/2006/05/snow-patrol-t2t-eyes-open-fg0-53x53.jpg;109;2006
